"Accession","Organism","Genome assembly","Donor sex","Donor age","File download url"
"GSM3106405","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106405/suppl/GSM3106405_ENCFF867SWQ_peaks_GRCh38.bed.gz"
"GSM3106403","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106403/suppl/GSM3106403_ENCFF481NWN_peaks_GRCh38.bed.gz"
"GSM3106402","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106402/suppl/GSM3106402_ENCFF437JWP_peaks_GRCh38.bed.gz"
"GSM3106400","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106400/suppl/GSM3106400_ENCFF339HYL_peaks_GRCh38.bed.gz"
"GSM3106399","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106399/suppl/GSM3106399_ENCFF420JHV_peaks_GRCh38.bed.gz"
"GSM3106398","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106398/suppl/GSM3106398_ENCFF253HSX_peaks_GRCh38.bed.gz"
"GSM3106397","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106397/suppl/GSM3106397_ENCFF608DXK_peaks_GRCh38.bed.gz"
"GSM3106395","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106395/suppl/GSM3106395_ENCFF522HND_peaks_GRCh38.bed.gz"
"GSM3106394","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106394/suppl/GSM3106394_ENCFF314AZS_peaks_GRCh38.bed.gz"
"GSM3106392","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106392/suppl/GSM3106392_ENCFF784LTM_peaks_GRCh38.bed.gz"
"GSM3106391","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106391/suppl/GSM3106391_ENCFF477FVO_peaks_GRCh38.bed.gz"
"GSM3106389","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106389/suppl/GSM3106389_ENCFF433FGE_peaks_GRCh38.bed.gz"
"GSM3106387","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106387/suppl/GSM3106387_ENCFF717AJB_peaks_GRCh38.bed.gz"
"GSM3106386","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106386/suppl/GSM3106386_ENCFF981AYV_peaks_GRCh38.bed.gz"
"GSM3106385","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106385/suppl/GSM3106385_ENCFF474GCE_peaks_GRCh38.bed.gz"
"GSM3106382","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106382/suppl/GSM3106382_ENCFF355PQR_peaks_GRCh38.bed.gz"
"GSM3106381","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106381/suppl/GSM3106381_ENCFF176TCK_peaks_GRCh38.bed.gz"
"GSM3106379","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106379/suppl/GSM3106379_ENCFF469CXS_peaks_GRCh38.bed.gz"
"GSM3106378","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106378/suppl/GSM3106378_ENCFF511DSY_peaks_GRCh38.bed.gz"
"GSM3106377","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106377/suppl/GSM3106377_ENCFF043PDY_peaks_GRCh38.bed.gz"
"GSM3106376","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106376/suppl/GSM3106376_ENCFF558RRE_peaks_GRCh38.bed.gz"
